8.5	11.428
5.88	13.185
1.82	8.777
8.81	10.905
0.77	4.559
2.4	9.248
8.62	11.087
6.25	12.813
5.11	12.43
2.03	9.435
3.24	11.797
6.63	11.685
7.08	12.537
2.39	9.235
5.91	12.626
2.02	8.337
4.32	12.517
5.42	12.915
0.67	4.521
2.23	8.887
8.9	10.527
6.44	12.847
8.36	10.808
6.95	11.921
9.25	10.619
4.84	12.202
5.49	12.56
5.18	13.104
0.61	4.267
1.24	6.534
7.01	12.437
9.43	10.151
5.29	12.652
2.52	10.397
6.19	12.819
7.9	10.814
9.61	9.549
2.23	9.014
9	11.023
7.41	11.198
3.42	12.248
5.68	12.794
0.38	3.407
6.61	12.614
7.85	11.363
7.83	11.291
6.5	11.844
6.14	13.035
7.06	11.713
6.43	12.229
2.34	9.424
4.77	12.557
3.66	12.072
0.87	5.545
6.93	11.936
5.76	12.515
1	5.652
9.68	9.629
5.74	13.335
0.14	3.875
3.32	12.057
6.25	12.992
0.44	3.31
7.75	12.068
5.53	13.162
1.13	5.736
5.94	12.945
5.4	12.639
3.26	11.255
7	11.859
4.23	12.109
9.68	10.634
1.47	7.644
0.36	3.026
7.52	11.504
3.86	12.554
0.46	3.964
1.14	5.872
9.32	10.109
7.65	11.297
5.81	12.383
2.45	10.15
6.6	12.481
0.52	3.758
9.67	10.206
1.83	8.388
8.7	11.209
6.18	13.002
8.05	10.897
8.86	11.202
4.8	13.009
6.89	12.003
3.93	12.514
3.89	12.81
2.9	10.469
0.43	3.646
3.61	11.697
1.17	6.318
2.37	9.514
7.78	11.242
5.53	12.577
8.38	10.665
5.81	12.218
0.76	4.835
6.95	11.514
3.02	10.654
9.07	10.318
2.54	10.075
6.91	11.989
9.97	10.162
6.99	12.516
6.39	12.393
2.73	11.064
6.55	12.22
9.29	9.922
8.55	10.755
1.42	7.243
0.85	4.667
1.32	6.734
6.1	13.105
0.01	3.842
3.14	11.956
8.51	10.492
2.99	11.3
9.99	10.522
0.84	4.534
9.97	9.844
2.94	10.596
1.13	5.914
4.98	13.276
2.14	9.335
2.68	10.803
1.89	7.864
5.45	12.872
0.55	3.781
1.65	7.652
4.69	13.416
4.5	12.117
5.92	12.724
9.24	10.829
3.54	12.237
3.66	12.301
1.45	7.346
6.14	11.966
4.16	13.134
5.65	13.184
9.65	10.076
9.03	11.119
1.38	7.144
3.84	12.217
9.37	9.967
6.99	12.325
9.31	10.955
8.12	11.77
0.75	4.537
9.44	10.171
9.67	9.634
0.82	4.37
1.87	8.832
4.06	12.275
7.54	11.628
2.11	8.537
2.1	9.577
1.2	6.536
7.51	11.13
5.3	13.376
4.49	13.284
0.01	2.926
8.05	11.393
4.88	13.188
3.33	12.072
9.41	9.666
0.1	3.233
3.99	12.513
4.16	12.001
6	12.081
7.97	11.763
5.59	13.25
5.03	12.504
4.32	12.021
0.39	4.189
2.12	8.922
6.38	12.513
3.98	12.772
1.56	7.287
2.32	9.015
9.51	10.529
0.07	3.964
9.19	9.979
1.63	7.025
4.02	12.41
1.53	6.957
6.12	12.395
9.32	10.389
6.45	12.523
0.56	4.506
6.9	12.263
6.43	12.229
3.96	12.272
5.78	12.712
